"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Staphylococcus_aureus_subsp_aureus_strain1","Staphylococcus_aureus_subsp_aureus_strain2"
"gdpP","","Cyclic-di-AMP phosphodiesterase GdpP","2","2","1","16","943","","","","1967","1967","1967","EFOPJNHM_00014","MMPIJKCK_01868"
"modB","","Molybdenum transport system permease protein ModB","2","2","1","16","498","","","","671","671","671","EFOPJNHM_02219","MMPIJKCK_01438"
"fba","","Fructose-bisphosphate aldolase","2","2","1","16","355","","","","860","860","860","EFOPJNHM_02074","MMPIJKCK_02483"
"group_2220","","hypothetical protein","2","2","1","16","788","","","","1055","1055","1055","EFOPJNHM_02504","MMPIJKCK_01713"
"ugtP","","Processive diacylglycerol beta-glucosyltransferase","2","2","1","16","178","","","","1175","1175","1175","EFOPJNHM_00911","MMPIJKCK_00473"
"group_2222","norB_2","Quinolone resistance protein NorB","2","2","1","16","662","","","","1400","1400","1400","EFOPJNHM_02382","MMPIJKCK_01598"
"group_2223","","hypothetical protein","2","2","1","16","864","","","","1907","1907","1907","EFOPJNHM_02580","MMPIJKCK_01789"
"recF","","DNA replication and repair protein RecF","2","2","1","16","933","","","","1112","1112","1112","EFOPJNHM_00004","MMPIJKCK_01858"
"tagH_2","","Teichoic acids export ATP-binding protein TagH","2","2","1","16","2514","","","","1517","1517","1517","EFOPJNHM_01841","MMPIJKCK_02258"
"ffh","","Signal recognition particle protein","2","2","1","16","2107","","","","1367","1367","1367","EFOPJNHM_01129","MMPIJKCK_00685"
"group_2227","","hypothetical protein","2","2","1","16","2282","","","","1886","1886","1886","EFOPJNHM_01303","MMPIJKCK_00859"
"group_2228","","hypothetical protein","2","2","1","16","2291","","","","614","614","614","EFOPJNHM_01311","MMPIJKCK_00868"
"group_2229","","Zinc-type alcohol dehydrogenase-like protein","2","2","1","16","412","","","","1007","1007","1007","EFOPJNHM_02139","MMPIJKCK_01353"
"betA","","Oxygen-dependent choline dehydrogenase","2","2","1","16","827","","","","1709","1709","1709","EFOPJNHM_02543","MMPIJKCK_01752"
"ruvA","","Holliday junction ATP-dependent DNA helicase RuvA","2","2","1","16","1915","","","","602","602","602","EFOPJNHM_01593","MMPIJKCK_01094"
"group_2232","","Acid shock protein","2","2","1","16","604","","","","422","422","422","EFOPJNHM_02324","MMPIJKCK_01541"
"group_2233","","TelA-like protein","2","2","1","16","2280","","","","1136","1136","1136","EFOPJNHM_01300","MMPIJKCK_00857"
"sarZ","","HTH-type transcriptional regulator SarZ","2","2","1","16","603","","","","446","446","446","EFOPJNHM_02323","MMPIJKCK_01540"
"trmFO","","Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO","2","2","1","16","2120","","","","1307","1307","1307","EFOPJNHM_01143","MMPIJKCK_00698"
"group_2236","","hypothetical protein","2","2","1","16","2575","","","","842","842","842","EFOPJNHM_01896","MMPIJKCK_02327"
"group_2237","","hypothetical protein","2","2","1","16","32","","","","1556","1556","1556","EFOPJNHM_01061","MMPIJKCK_00620"
"group_2238","","hypothetical protein","2","2","1","16","899","","","","497","497","497","EFOPJNHM_02615","MMPIJKCK_01824"
"ulaA","","Ascorbate-specific PTS system EIIC component","2","2","1","16","1220","","","","1346","1346","1346","EFOPJNHM_00304","MMPIJKCK_02127"
"trpE","","Anthranilate synthase component 1","2","2","1","16","2243","","","","1406","1406","1406","EFOPJNHM_01262","MMPIJKCK_00820"
"group_2241","","hypothetical protein","2","2","1","16","1527","","","","833","833","833","EFOPJNHM_00620","MMPIJKCK_00133"
"topB","","DNA topoisomerase 3","2","2","1","16","475","","","","2135","2135","2135","EFOPJNHM_02196","MMPIJKCK_01415"
"murF","","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","2","2","1","16","314","","","","1358","1358","1358","EFOPJNHM_02032","MMPIJKCK_02524"
"atpG","","ATP synthase gamma chain","2","2","1","16","335","","","","866","866","866","EFOPJNHM_02053","MMPIJKCK_02503"
"group_2245","","hypothetical protein","2","2","1","16","1702","","","","539","539","539","EFOPJNHM_00797","MMPIJKCK_00292"
"adhR","","HTH-type transcriptional regulator AdhR","2","2","1","16","429","","","","416","416","416","EFOPJNHM_02154","MMPIJKCK_01369"
"argH","","Argininosuccinate lyase","2","2","1","16","2823","","","","1379","1379","1379","EFOPJNHM_00856","MMPIJKCK_00418"
"mnmG","","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG","2","2","1","16","926","","","","1877","1877","1877","EFOPJNHM_02642","MMPIJKCK_01851"
"hisZ","","ATP phosphoribosyltransferase regulatory subunit","2","2","1","16","897","","","","818","818","818","EFOPJNHM_02613","MMPIJKCK_01822"
"ssbA_4","","Single-stranded DNA-binding protein A","2","2","1","16","328","","","","395","395","395","EFOPJNHM_02046","MMPIJKCK_02510"
"prfC","","Peptide chain release factor 3","2","2","1","16","175","","","","1562","1562","1562","EFOPJNHM_00914","MMPIJKCK_00476"
"garL","","5-keto-4-deoxy-D-glucarate aldolase","2","2","1","16","1001","","","","776","779","777","EFOPJNHM_00094","MMPIJKCK_01921"
"group_2253","","hypothetical protein","2","2","1","16","1091","","","","1433","1433","1433","EFOPJNHM_00182","MMPIJKCK_01996"
"group_2254","","hypothetical protein","2","2","1","16","1551","","","","473","473","473","EFOPJNHM_00644","MMPIJKCK_00157"
"group_2255","","hypothetical protein","2","2","1","16","2786","","","","827","827","827","EFOPJNHM_00819","MMPIJKCK_00381"
"lnrL_3","","Linearmycin resistance ATP-binding protein LnrL","2","2","1","16","559","","","","899","899","899","EFOPJNHM_02280","MMPIJKCK_01498"
"group_2257","","hypothetical protein","2","2","1","16","916","","","","512","512","512","EFOPJNHM_02632","MMPIJKCK_01841"
"group_2258","","hypothetical protein","2","2","1","16","1904","","","","686","686","686","EFOPJNHM_01603","MMPIJKCK_01105"
"group_2259","","hypothetical protein","2","2","1","16","383","","","","2132","2132","2132","EFOPJNHM_02101","MMPIJKCK_02455"
"group_2260","","hypothetical protein","2","2","1","16","624","","","","1547","1553","1550","EFOPJNHM_02344","MMPIJKCK_01560"
"group_2261","","hypothetical protein","2","2","1","16","1650","","","","629","629","629","EFOPJNHM_00745","MMPIJKCK_00257"
"group_2262","","hypothetical protein","2","2","1","16","1524","","","","1295","1295","1295","EFOPJNHM_00617","MMPIJKCK_00130"
"mdtH","","Multidrug resistance protein MdtH","2","2","1","16","1808","","","","1181","1181","1181","EFOPJNHM_01699","MMPIJKCK_01202"
"group_2264","","hypothetical protein","2","2","1","16","78","","","","389","389","389","EFOPJNHM_01016","MMPIJKCK_00576"
"manA","","Mannose-6-phosphate isomerase ManA","2","2","1","16","372","","","","938","938","938","EFOPJNHM_02092","MMPIJKCK_02466"
"prmC","","Release factor glutamine methyltransferase","2","2","1","16","347","","","","836","836","836","EFOPJNHM_02066","MMPIJKCK_02491"
"bioK","","L-Lysine--8-amino-7-oxononanoate transaminase","2","2","1","16","645","","","","1358","1358","1358","EFOPJNHM_02365","MMPIJKCK_01581"
"purK","","N5-carboxyaminoimidazole ribonucleotide synthase","2","2","1","16","133","","","","1124","1124","1124","EFOPJNHM_00961","MMPIJKCK_00521"
"group_2269","","hypothetical protein","2","2","1","16","492","","","","485","485","485","EFOPJNHM_02213","MMPIJKCK_01432"
"group_2270","","putative protein","2","2","1","16","1109","","","","968","968","968","EFOPJNHM_00200","MMPIJKCK_02014"
"kdpD","","Sensor protein KdpD","2","2","1","16","311","","","","2657","2657","2657","EFOPJNHM_02029","MMPIJKCK_02527"
"tsaD","","tRNA N6-adenosine threonylcarbamoyltransferase","2","2","1","16","2690","","","","1025","1025","1025","EFOPJNHM_01995","MMPIJKCK_02429"
"accB_2","","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","2","2","1","16","1949","","","","449","449","449","EFOPJNHM_01559","MMPIJKCK_01060"
"ydfJ","","Membrane protein YdfJ","2","2","1","16","770","","","","2489","2489","2489","EFOPJNHM_02486","MMPIJKCK_01695"
"rsmB","","Ribosomal RNA small subunit methyltransferase B","2","2","1","16","2088","","","","1307","1307","1307","EFOPJNHM_01109","MMPIJKCK_00666"
"rsfS","","Ribosomal silencing factor RsfS","2","2","1","16","1964","","","","353","353","353","EFOPJNHM_01545","MMPIJKCK_01045"
"yfmJ","","Putative NADP-dependent oxidoreductase YfmJ","2","2","1","16","413","","","","1004","1004","1004","EFOPJNHM_02140","MMPIJKCK_01354"
"ssaA","","Staphylococcal secretory antigen SsaA","2","2","1","16","784","","","","767","767","767","EFOPJNHM_02500","MMPIJKCK_01709"
"gmk","","Guanylate kinase","2","2","1","16","2080","","","","623","623","623","EFOPJNHM_01101","MMPIJKCK_00658"
"efeN","","putative deferrochelatase/peroxidase EfeN","2","2","1","16","1234","","","","1229","1229","1229","EFOPJNHM_00318","MMPIJKCK_02141"
"group_2281","","hypothetical protein","2","2","1","16","593","","","","1277","1277","1277","EFOPJNHM_02313","MMPIJKCK_01530"
"group_2282","","hypothetical protein","2","2","1","16","1517","","","","752","752","752","EFOPJNHM_00610","MMPIJKCK_00123"
"group_2283","","Phosphomevalonate kinase","2","2","1","16","1468","","","","1076","1076","1076","EFOPJNHM_00559","MMPIJKCK_00073"
"cntA","","Metal-staphylopine-binding protein CntA","2","2","1","16","685","","","","1598","1598","1598","EFOPJNHM_02404","MMPIJKCK_01620"
"group_2285","","hypothetical protein","2","2","1","16","2526","","","","1211","1217","1214","EFOPJNHM_01853","MMPIJKCK_02270"
"hchA","","Protein/nucleic acid deglycase HchA","2","2","1","16","1427","","","","878","878","878","EFOPJNHM_00519","MMPIJKCK_00034"
"mprF","","Phosphatidylglycerol lysyltransferase","2","2","1","16","2236","","","","2522","2522","2522","EFOPJNHM_01255","MMPIJKCK_00813"
"phoB","","Alkaline phosphatase 3","2","2","1","16","844","","","","1424","1424","1424","EFOPJNHM_02560","MMPIJKCK_01769"
"nasD","","Nitrite reductase [NAD(P)H]","2","2","1","16","618","","","","2405","2405","2405","EFOPJNHM_02338","MMPIJKCK_01554"
"group_2290","","hypothetical protein","2","2","1","16","2493","","","","1112","1112","1112","EFOPJNHM_01788","MMPIJKCK_01295"
"relA","","GTP pyrophosphokinase","2","2","1","16","1923","","","","2210","2210","2210","EFOPJNHM_01585","MMPIJKCK_01086"
"ywaC","","GTP pyrophosphokinase YwaC","2","2","1","16","725","","","","692","692","692","EFOPJNHM_02441","MMPIJKCK_01651"
"group_2293","hdfR_1","HTH-type transcriptional regulator HdfR","2","2","1","16","551","","","","884","884","884","EFOPJNHM_02272","MMPIJKCK_01490"
"group_2294","","hypothetical protein","2","2","1","16","695","","","","422","422","422","EFOPJNHM_02411","MMPIJKCK_01627"
"argS","","Arginine--tRNA ligase","2","2","1","16","1491","","","","1661","1661","1661","EFOPJNHM_00584","MMPIJKCK_00097"
"bioW","","6-carboxyhexanoate--CoA ligase","2","2","1","16","642","","","","692","692","692","EFOPJNHM_02362","MMPIJKCK_01578"
"esxD","","Type VII secretion system extracellular protein D","2","2","1","16","1178","","","","311","311","311","EFOPJNHM_00265","MMPIJKCK_02083"
"gtfA_2","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit","2","2","1","16","1442","","","","1490","1490","1490","EFOPJNHM_00533","MMPIJKCK_00047"
"pyrD","","Dihydroorotate dehydrogenase (quinone)","2","2","1","16","806","","","","1064","1064","1064","EFOPJNHM_02522","MMPIJKCK_01732"
"group_23","","Putative flavoprotein monooxygenase","2","2","1","16","801","","","","920","1106","1013","EFOPJNHM_02517","MMPIJKCK_01726"
"caiA","","Crotonobetainyl-CoA reductase","2","2","1","16","1118","","","","1211","1211","1211","EFOPJNHM_00208","MMPIJKCK_02023"
"gtfA_3","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit","2","2","1","16","866","","","","1508","1508","1508","EFOPJNHM_02582","MMPIJKCK_01791"
"group_2302","","hypothetical protein","2","2","1","16","1381","","","","1193","1193","1193","EFOPJNHM_00457","MMPIJKCK_02568"
"group_2303","","hypothetical protein","2","2","1","16","484","","","","764","764","764","EFOPJNHM_02205","MMPIJKCK_01424"
"group_2304","","Monoacylglycerol lipase","2","2","1","16","2170","","","","917","917","917","EFOPJNHM_01193","MMPIJKCK_00748"
"gabR","","HTH-type transcriptional regulatory protein GabR","2","2","1","16","1394","","","","1382","1382","1382","EFOPJNHM_00486","MMPIJKCK_00001"
"group_2306","","hypothetical protein","2","2","1","16","2694","","","","1079","1079","1079","EFOPJNHM_01991","MMPIJKCK_02425"
"group_2307","","hypothetical protein","2","2","1","16","496","","","","1004","1004","1004","EFOPJNHM_02217","MMPIJKCK_01436"
"prmA","","Ribosomal protein L11 methyltransferase","2","2","1","16","1977","","","","938","938","938","EFOPJNHM_01532","MMPIJKCK_01032"
"sdrM","","Multidrug efflux pump SdrM","2","2","1","16","395","","","","1343","1343","1343","EFOPJNHM_02122","MMPIJKCK_01336"
"yhaM","","3'-5' exoribonuclease YhaM","2","2","1","16","2486","","","","941","941","941","EFOPJNHM_01781","MMPIJKCK_01288"
"feuB","","Iron-uptake system permease protein FeuB","2","2","1","16","1529","","","","1004","1004","1004","EFOPJNHM_00622","MMPIJKCK_00135"
"fetB","","putative iron export permease protein FetB","2","2","1","16","671","","","","776","776","776","EFOPJNHM_02391","MMPIJKCK_01607"
"group_2313","","Putative dipeptidase","2","2","1","16","1816","","","","1409","1409","1409","EFOPJNHM_01691","MMPIJKCK_01192"
"msrC","","Free methionine-R-sulfoxide reductase","2","2","1","16","1848","","","","464","464","464","EFOPJNHM_01659","MMPIJKCK_01160"
"group_2315","","hypothetical protein","2","2","1","16","962","","","","1193","1193","1193","EFOPJNHM_00058","MMPIJKCK_01889"
"pstA","","Phosphate transport system permease protein PstA","2","2","1","16","2262","","","","917","917","917","EFOPJNHM_01282","MMPIJKCK_00839"
"gph","","Phosphoglycolate phosphatase","2","2","1","16","1449","","","","647","647","647","EFOPJNHM_00540","MMPIJKCK_00054"
"group_2318","","hypothetical protein","2","2","1","16","2710","","","","1259","1259","1259","EFOPJNHM_01978","MMPIJKCK_02412"
"uvrC","","UvrABC system protein C","2","2","1","16","55","","","","1781","1781","1781","EFOPJNHM_01039","MMPIJKCK_00598"
"glcB","","PTS system glucoside-specific EIICBA component","2","2","1","16","756","","","","2099","2099","2099","EFOPJNHM_02472","MMPIJKCK_01681"
"nanA","","N-acetylneuraminate lyase","2","2","1","16","1206","","","","881","881","881","EFOPJNHM_00290","MMPIJKCK_02113"
"ecfT_1","","Energy-coupling factor transporter transmembrane protein EcfT","2","2","1","16","123","","","","806","806","806","EFOPJNHM_00971","MMPIJKCK_00531"
"hly","","Alpha-hemolysin","2","2","1","16","40","","","","959","959","959","EFOPJNHM_01053","MMPIJKCK_00612"
"group_2324","","hypothetical protein","2","2","1","16","1539","","","","923","923","923","EFOPJNHM_00632","MMPIJKCK_00145"
"group_2325","","putative sensor-like histidine kinase","2","2","1","16","1108","","","","1556","1556","1556","EFOPJNHM_00199","MMPIJKCK_02013"
"argJ","","Arginine biosynthesis bifunctional protein ArgJ","2","2","1","16","1064","","","","1241","1241","1241","EFOPJNHM_00157","MMPIJKCK_01981"
"group_2327","","hypothetical protein","2","2","1","16","1129","","","","2096","2096","2096","EFOPJNHM_00219","MMPIJKCK_02034"
"potD","","Spermidine/putrescine-binding periplasmic protein","2","2","1","16","97","","","","1073","1073","1073","EFOPJNHM_00997","MMPIJKCK_00557"
"sbcD","","Nuclease SbcCD subunit D","2","2","1","16","2223","","","","1121","1121","1121","EFOPJNHM_01242","MMPIJKCK_00800"
"stp","","Serine/threonine phosphatase stp","2","2","1","16","2090","","","","743","743","743","EFOPJNHM_01111","MMPIJKCK_00668"
"group_2331","","hypothetical protein","2","2","1","16","69","","","","1076","1076","1076","EFOPJNHM_01025","MMPIJKCK_00585"
"tagO","","putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase","2","2","1","16","1627","","","","1055","1055","1055","EFOPJNHM_00721","MMPIJKCK_00233"
"icaB","","Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase","2","2","1","16","886","","","","872","872","872","EFOPJNHM_02602","MMPIJKCK_01811"
"hemL1","","Glutamate-1-semialdehyde 2,1-aminomutase 1","2","2","1","16","1898","","","","1286","1286","1286","EFOPJNHM_01609","MMPIJKCK_01111"
"bceB_2","","Bacitracin export permease protein BceB","2","2","1","16","839","","","","2000","2000","2000","EFOPJNHM_02555","MMPIJKCK_01764"
"group_2336","","hypothetical protein","2","2","1","16","2241","","","","1091","1091","1091","EFOPJNHM_01260","MMPIJKCK_00818"
"group_2337","","hypothetical protein","2","2","1","16","533","","","","329","329","329","EFOPJNHM_02254","MMPIJKCK_01472"
"orr","","Ornithine racemase","2","2","1","16","404","","","","1070","1070","1070","EFOPJNHM_02131","MMPIJKCK_01345"
"mleN_2","","Malate-2H(+)/Na(+)-lactate antiporter","2","2","1","16","545","","","","1313","1313","1313","EFOPJNHM_02266","MMPIJKCK_01484"
"sglT","","Sodium/glucose cotransporter","2","2","1","16","1205","","","","1532","1532","1532","EFOPJNHM_00289","MMPIJKCK_02112"
"malG","","Maltose/maltodextrin transport system permease protein MalG","2","2","1","16","1101","","","","839","839","839","EFOPJNHM_00192","MMPIJKCK_02006"
"ilvB","","Acetolactate synthase large subunit","2","2","1","16","2685","","","","1769","1769","1769","EFOPJNHM_02000","MMPIJKCK_02434"
"hemY","","Protoporphyrinogen oxidase","2","2","1","16","2476","","","","1400","1400","1400","EFOPJNHM_01771","MMPIJKCK_01278"
"purA","","Adenylosuccinate synthetase","2","2","1","16","946","","","","1283","1283","1283","EFOPJNHM_00017","MMPIJKCK_01871"
"group_2345","","hypothetical protein","2","2","1","16","949","","","","1334","1334","1334","EFOPJNHM_00022","MMPIJKCK_01876"
"group_2346","","hypothetical protein","2","2","1","16","473","","","","389","389","389","EFOPJNHM_02194","MMPIJKCK_01413"
"group_2347","","hypothetical protein","2","2","1","16","2320","","","","1340","1340","1340","EFOPJNHM_01336","MMPIJKCK_00895"
"group_2348","","hypothetical protein","2","2","1","16","653","","","","473","473","473","EFOPJNHM_02373","MMPIJKCK_01589"
"gltS","","Sodium/glutamate symporter","2","2","1","16","562","","","","1208","1208","1208","EFOPJNHM_02283","MMPIJKCK_01501"
"pheS","","Phenylalanine--tRNA ligase alpha subunit","2","2","1","16","63","","","","1058","1058","1058","EFOPJNHM_01031","MMPIJKCK_00591"
"recG","","ATP-dependent DNA helicase RecG","2","2","1","16","2098","","","","2060","2060","2060","EFOPJNHM_01119","MMPIJKCK_00676"
"group_2352","","hypothetical protein","2","2","1","16","2146","","","","713","713","713","EFOPJNHM_01169","MMPIJKCK_00724"
"ssuC","","Putative aliphatic sulfonates transport permease protein SsuC","2","2","1","16","1055","","","","761","761","761","EFOPJNHM_00148","MMPIJKCK_01972"
"group_2354","","hypothetical protein","2","2","1","16","2045","","","","371","371","371","EFOPJNHM_01465","MMPIJKCK_00959"
"mrpE","","Na(+)/H(+) antiporter subunit E","2","2","1","16","1509","","","","482","482","482","EFOPJNHM_00602","MMPIJKCK_00115"
"group_2356","","hypothetical protein","2","2","1","16","2206","","","","1280","1280","1280","EFOPJNHM_01225","MMPIJKCK_00783"
"group_2357","","putative autolysin SsaALP","2","2","1","16","1546","","","","797","797","797","EFOPJNHM_00639","MMPIJKCK_00152"
"dus","","putative tRNA-dihydrouridine synthase","2","2","1","16","963","","","","986","986","986","EFOPJNHM_00059","MMPIJKCK_01890"
"hflX","","GTPase HflX","2","2","1","16","2174","","","","1238","1238","1238","EFOPJNHM_01197","MMPIJKCK_00752"
"splB","","Serine protease SplB","2","2","1","16","1756","","","","722","722","722","EFOPJNHM_01747","MMPIJKCK_01254"
"group_2361","","hypothetical protein","2","2","1","16","1896","","","","668","668","668","EFOPJNHM_01611","MMPIJKCK_01113"
"dat","","D-alanine aminotransferase","2","2","1","16","1817","","","","848","848","848","EFOPJNHM_01690","MMPIJKCK_01191"
"tet(38)","","tetracycline efflux MFS transporter Tet(38)","2","2","1","16","1017","","","","1352","1358","1355","EFOPJNHM_00109","MMPIJKCK_01936"
"mntH_2","","Divalent metal cation transporter MntH","2","2","1","16","1952","","","","1229","1229","1229","EFOPJNHM_01556","MMPIJKCK_01057"
"nrdD","","Anaerobic ribonucleoside-triphosphate reductase","2","2","1","16","833","","","","1850","1850","1850","EFOPJNHM_02549","MMPIJKCK_01758"
"recX","","Regulatory protein RecX","2","2","1","16","2516","","","","818","818","818","EFOPJNHM_01843","MMPIJKCK_02260"
"gatD_1","","Galactitol 1-phosphate 5-dehydrogenase","2","2","1","16","1135","","","","1043","1043","1043","EFOPJNHM_00225","MMPIJKCK_02040"
"cdr","","Coenzyme A disulfide reductase","2","2","1","16","2833","","","","1316","1316","1316","EFOPJNHM_00866","MMPIJKCK_00427"
"mrpA","","Na(+)/H(+) antiporter subunit A","2","2","1","16","1505","","","","2402","2402","2402","EFOPJNHM_00598","MMPIJKCK_00111"
"gltB","","Glutamate synthase [NADPH] small chain","2","2","1","16","1349","","","","1463","1463","1463","EFOPJNHM_00421","MMPIJKCK_02240"
"group_2371","","putative protein","2","2","1","16","2831","","","","902","902","902","EFOPJNHM_00864","MMPIJKCK_00426"
"group_2372","","hypothetical protein","2","2","1","16","2532","","","","986","986","986","EFOPJNHM_01859","MMPIJKCK_02276"
"trmD","","tRNA (guanine-N(1)-)-methyltransferase","2","2","1","16","2110","","","","737","737","737","EFOPJNHM_01132","MMPIJKCK_00688"
"acsA_1","","Acetyl-coenzyme A synthetase","2","2","1","16","1834","","","","1706","1706","1706","EFOPJNHM_01673","MMPIJKCK_01174"
"group_2375","","hypothetical protein","2","2","1","16","678","","","","1577","1577","1577","EFOPJNHM_02397","MMPIJKCK_01613"
"rlmN","","putative dual-specificity RNA methyltransferase RlmN","2","2","1","16","2089","","","","1094","1094","1094","EFOPJNHM_01110","MMPIJKCK_00667"
"group_2377","","hypothetical protein","2","2","1","16","171","","","","1514","1514","1514","EFOPJNHM_00918","MMPIJKCK_00480"
"ctaB2","","Protoheme IX farnesyltransferase 2","2","2","1","16","84","","","","911","911","911","EFOPJNHM_01010","MMPIJKCK_00570"
"isdC","","Iron-regulated surface determinant protein C","2","2","1","16","70","","","","683","683","683","EFOPJNHM_01024","MMPIJKCK_00584"
"treR_2","","HTH-type transcriptional regulator TreR","2","2","1","16","2697","","","","950","950","950","EFOPJNHM_01988","MMPIJKCK_02422"
"hisD","","Histidinol dehydrogenase","2","2","1","16","895","","","","1250","1250","1250","EFOPJNHM_02611","MMPIJKCK_01820"
"alaS","","Alanine--tRNA ligase","2","2","1","16","1938","","","","2630","2633","2631","EFOPJNHM_01570","MMPIJKCK_01071"
"bcr_2","","Bicyclomycin resistance protein","2","2","1","16","652","","","","1211","1211","1211","EFOPJNHM_02372","MMPIJKCK_01588"
"kdpC","","Potassium-transporting ATPase KdpC subunit","2","2","1","16","308","","","","560","560","560","EFOPJNHM_02026","MMPIJKCK_02529"
"moeA","","Molybdopterin molybdenumtransferase","2","2","1","16","493","","","","1259","1259","1259","EFOPJNHM_02214","MMPIJKCK_01433"
"sbcC","","Nuclease SbcCD subunit C","2","2","1","16","2224","","","","3029","3029","3029","EFOPJNHM_01243","MMPIJKCK_00801"
"cysJ","","Sulfite reductase [NADPH] flavoprotein alpha-component","2","2","1","16","836","","","","1880","1880","1880","EFOPJNHM_02552","MMPIJKCK_01761"
"group_2388","","hypothetical protein","2","2","1","16","362","","","","1193","1193","1193","EFOPJNHM_02081","MMPIJKCK_02476"
"lacD","","Tagatose 1,6-diphosphate aldolase","2","2","1","16","418","","","","980","980","980","EFOPJNHM_02145","MMPIJKCK_01359"
"comFA","","ComF operon protein 1","2","2","1","16","1630","","","","1082","1082","1082","EFOPJNHM_00724","MMPIJKCK_00236"
"trpF","","N-(5'-phosphoribosyl)anthranilate isomerase","2","2","1","16","2247","","","","635","635","635","EFOPJNHM_01266","MMPIJKCK_00824"
"yitJ","","Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase","2","2","1","16","1247","","","","1841","1841","1841","EFOPJNHM_00331","MMPIJKCK_02154"
"trpB","","Tryptophan synthase beta chain","2","2","1","16","2248","","","","1214","1214","1214","EFOPJNHM_01267","MMPIJKCK_00825"
"phrB","","Deoxyribodipyrimidine photo-lyase","2","2","1","16","1572","","","","1373","1373","1373","EFOPJNHM_00665","MMPIJKCK_00178"
"group_2395","","hypothetical protein","2","2","1","16","1821","","","","314","314","314","EFOPJNHM_01686","MMPIJKCK_01187"
"tkt","","Transketolase","2","2","1","16","2220","","","","1988","1988","1988","EFOPJNHM_01239","MMPIJKCK_00797"
"rlmCD","","23S rRNA (uracil-C(5))-methyltransferase RlmCD","2","2","1","16","2547","","","","1361","1361","1361","EFOPJNHM_01867","MMPIJKCK_02299"
"group_2398","","hypothetical protein","2","2","1","16","2806","","","","1316","1316","1316","EFOPJNHM_00839","MMPIJKCK_00401"
"yfiY","","putative siderophore-binding lipoprotein YfiY","2","2","1","16","994","","","","992","992","992","EFOPJNHM_00087","MMPIJKCK_01914"
"group_2400","treP_1","PTS system trehalose-specific EIIBC component","2","2","1","16","1350","","","","1427","1427","1427","EFOPJNHM_00423","MMPIJKCK_02242"
"alsS","","Acetolactate synthase","2","2","1","16","433","","","","1664","1664","1664","EFOPJNHM_02158","MMPIJKCK_01373"
"group_2402","","hypothetical protein","2","2","1","16","80","","","","926","926","926","EFOPJNHM_01014","MMPIJKCK_00574"
"group_2403","","hypothetical protein","2","2","1","16","795","","","","557","557","557","EFOPJNHM_02511","MMPIJKCK_01720"
"group_2404","ywtE","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YwtE","2","2","1","16","1435","","","","869","869","869","EFOPJNHM_00527","MMPIJKCK_00042"
"group_2405","","hypothetical protein","2","2","1","16","2487","","","","2936","2936","2936","EFOPJNHM_01782","MMPIJKCK_01289"
"group_2406","","hypothetical protein","2","2","1","16","2175","","","","1238","1238","1238","EFOPJNHM_01198","MMPIJKCK_00753"
"clpC","","ATP-dependent Clp protease ATP-binding subunit ClpC","2","2","1","16","1401","","","","2456","2456","2456","EFOPJNHM_00493","MMPIJKCK_00008"
"tarK","","Teichoic acid ribitol-phosphate polymerase TarK","2","2","1","16","1138","","","","1694","1694","1694","EFOPJNHM_00228","MMPIJKCK_02043"
"yqeN","","putative protein YqeN","2","2","1","16","1969","","","","974","974","974","EFOPJNHM_01540","MMPIJKCK_01040"
"group_2410","","hypothetical protein","2","2","1","16","1261","","","","572","572","572","EFOPJNHM_00345","MMPIJKCK_02168"
"thiN","","Thiamine pyrophosphokinase","2","2","1","16","2094","","","","641","641","641","EFOPJNHM_01115","MMPIJKCK_00672"
"group_2412","","hypothetical protein","2","2","1","16","1473","","","","626","626","626","EFOPJNHM_00564","MMPIJKCK_00078"
"proS","","Proline--tRNA ligase","2","2","1","16","2132","","","","1703","1703","1703","EFOPJNHM_01155","MMPIJKCK_00710"
"pdxK","","Pyridoxine kinase","2","2","1","16","1456","","","","830","830","830","EFOPJNHM_00547","MMPIJKCK_00061"
"group_2415","carA_1","Caffeate CoA-transferase","2","2","1","16","1120","","","","1562","1562","1562","EFOPJNHM_00210","MMPIJKCK_02025"
"gsiC","","Glutathione transport system permease protein GsiC","2","2","1","16","200","","","","962","962","962","EFOPJNHM_00889","MMPIJKCK_00451"
"bceB_1","","Bacitracin export permease protein BceB","2","2","1","16","1543","","","","1889","1889","1889","EFOPJNHM_00636","MMPIJKCK_00149"
