locus_tag	ftype	length_bp	gene	EC_number	COG	product
GEALKAJD_01498	CDS	1251				IS110 family transposase ISSpn10
GEALKAJD_01499	CDS	996	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
GEALKAJD_01500	CDS	555	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
GEALKAJD_01501	CDS	492				hypothetical protein
GEALKAJD_01502	CDS	1869	licR_1		COG1762	putative licABCH operon regulator
GEALKAJD_01503	CDS	801	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GEALKAJD_01504	CDS	216				hypothetical protein
GEALKAJD_01505	CDS	486				hypothetical protein
GEALKAJD_01506	CDS	414				hypothetical protein
GEALKAJD_01507	CDS	1179				IS256 family transposase ISEf1
GEALKAJD_01508	CDS	954			COG2826	IS30 family transposase IS1252
GEALKAJD_01509	CDS	1128	xerC_7			Tyrosine recombinase XerC
GEALKAJD_01510	CDS	1836	lepA	3.6.5.-		Elongation factor 4
GEALKAJD_01511	CDS	1221	eis_2	2.3.1.-		N-acetyltransferase Eis
GEALKAJD_01512	CDS	495				hypothetical protein
GEALKAJD_01513	CDS	672				hypothetical protein
GEALKAJD_01514	CDS	2610	clpB		COG0542	Chaperone protein ClpB
GEALKAJD_01515	CDS	1047				hypothetical protein
GEALKAJD_01516	CDS	273				hypothetical protein
GEALKAJD_01517	CDS	909	dagK_1	2.7.1.107	COG1597	Diacylglycerol kinase
GEALKAJD_01518	CDS	1233	pepT	3.4.11.4		Peptidase T
GEALKAJD_01519	CDS	1122			COG0327	GTP cyclohydrolase 1 type 2 
GEALKAJD_01520	CDS	702	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
GEALKAJD_01521	CDS	441				hypothetical protein
GEALKAJD_01522	CDS	927	dnaI		COG1484	Primosomal protein DnaI
GEALKAJD_01523	CDS	1374	dnaB		COG3611	Replication initiation and membrane attachment protein
GEALKAJD_01524	CDS	492	nrdR		COG1327	Transcriptional repressor NrdR
GEALKAJD_01525	CDS	333				hypothetical protein
GEALKAJD_01526	CDS	630	coaE	2.7.1.24		Dephospho-CoA kinase
GEALKAJD_01527	CDS	837	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
GEALKAJD_01528	CDS	2646	polA	2.7.7.7		DNA polymerase I
GEALKAJD_01529	CDS	684	ybhL		COG0670	Inner membrane protein YbhL
GEALKAJD_01530	CDS	486				hypothetical protein
GEALKAJD_01531	CDS	1335	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
GEALKAJD_01532	CDS	762	ydcF		COG1434	Protein YdcF
GEALKAJD_01533	CDS	483				Protein SprT-like protein
GEALKAJD_01534	CDS	2181	yhgF		COG2183	Protein YhgF
GEALKAJD_01535	CDS	732	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
GEALKAJD_01536	CDS	942				hypothetical protein
GEALKAJD_01537	CDS	132				hypothetical protein
GEALKAJD_01538	CDS	369				hypothetical protein
GEALKAJD_01539	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
GEALKAJD_01540	CDS	387				hypothetical protein
GEALKAJD_01541	CDS	624	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
GEALKAJD_01542	CDS	669	gpmA_4	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
GEALKAJD_01543	CDS	441				hypothetical protein
GEALKAJD_01544	CDS	672				hypothetical protein
GEALKAJD_01545	CDS	399				hypothetical protein
GEALKAJD_01546	CDS	774	umpB_1			Na(+), Li(+), K(+)/H(+) antiporter subunit B
GEALKAJD_01547	CDS	684	umpB_2			Na(+), Li(+), K(+)/H(+) antiporter subunit B
GEALKAJD_01548	CDS	888	lacG_2			Lactose transport system permease protein LacG
GEALKAJD_01549	CDS	870	lacF_3			Lactose transport system permease protein LacF
GEALKAJD_01550	CDS	1287	lacE_2			Lactose-binding protein
GEALKAJD_01551	CDS	579	cheB	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
GEALKAJD_01552	CDS	930	rhaR_2			HTH-type transcriptional activator RhaR
GEALKAJD_01553	CDS	1737				hypothetical protein
GEALKAJD_01554	CDS	837	pheA			Bifunctional chorismate mutase/prephenate dehydratase
GEALKAJD_01555	CDS	510	aroK	2.7.1.71	COG0703	Shikimate kinase
GEALKAJD_01556	CDS	1296	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
GEALKAJD_01557	CDS	1092				hypothetical protein
GEALKAJD_01558	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
GEALKAJD_01559	CDS	1065	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
GEALKAJD_01560	CDS	1023	aroF	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
GEALKAJD_01561	CDS	975	lacM	3.2.1.23	COG3250	Beta-galactosidase small subunit
GEALKAJD_01562	CDS	1884	lacL	3.2.1.23	COG3250	Beta-galactosidase large subunit
GEALKAJD_01563	CDS	2226	melA	3.2.1.22	COG3345	Alpha-galactosidase Mel36A
GEALKAJD_01564	CDS	480	melR_1		COG1609	HTH-type transcriptional repressor MelR
GEALKAJD_01565	CDS	576	melR_2		COG1609	HTH-type transcriptional repressor MelR
GEALKAJD_01566	CDS	1014	aes_2	3.1.1.-		Acetyl esterase
GEALKAJD_01567	CDS	129				hypothetical protein
GEALKAJD_01568	CDS	1374		2.1.1.-	COG2265	putative RNA methyltransferase
GEALKAJD_01569	CDS	1056	dagK_2	2.7.1.107	COG1597	Diacylglycerol kinase
GEALKAJD_01570	CDS	1431	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
GEALKAJD_01571	CDS	1473	gatA_2	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
GEALKAJD_01572	CDS	306	gatC_2	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C
GEALKAJD_01573	CDS	2037	ligA	6.5.1.2	COG0272	DNA ligase
GEALKAJD_01574	CDS	2235	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
GEALKAJD_01575	CDS	1560	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
GEALKAJD_01576	CDS	1932	fruA_4		COG1299	PTS system fructose-specific EIIABC component
GEALKAJD_01577	CDS	915	lacC_2	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
GEALKAJD_01578	CDS	753	glcR		COG1349	HTH-type transcriptional repressor GlcR
GEALKAJD_01579	CDS	210				hypothetical protein
GEALKAJD_01580	CDS	1329				hypothetical protein
GEALKAJD_01581	CDS	156				hypothetical protein
GEALKAJD_01582	CDS	588	engB		COG0218	putative GTP-binding protein EngB
GEALKAJD_01583	CDS	1251	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
GEALKAJD_01584	CDS	1290	tig	5.2.1.8	COG0544	Trigger factor
GEALKAJD_01585	CDS	933				hypothetical protein
GEALKAJD_01586	CDS	660				hypothetical protein
GEALKAJD_01587	CDS	1026	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
GEALKAJD_01588	CDS	291				hypothetical protein
GEALKAJD_01589	CDS	1806	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
GEALKAJD_01590	CDS	1356	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
GEALKAJD_01591	CDS	1170				hypothetical protein
GEALKAJD_01592	CDS	888	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
GEALKAJD_01593	CDS	3693		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
GEALKAJD_01594	CDS	522				hypothetical protein
GEALKAJD_01595	CDS	558				hypothetical protein
GEALKAJD_01596	CDS	588				hypothetical protein
GEALKAJD_01597	CDS	258				hypothetical protein
GEALKAJD_01598	CDS	252				hypothetical protein
GEALKAJD_01599	CDS	954			COG2826	IS30 family transposase IS1252
GEALKAJD_01600	CDS	582				hypothetical protein
GEALKAJD_01601	CDS	627				hypothetical protein
GEALKAJD_01602	CDS	201				hypothetical protein
GEALKAJD_01603	CDS	936	whiA		COG1481	putative cell division protein WhiA
GEALKAJD_01604	CDS	999			COG0391	Putative gluconeogenesis factor
GEALKAJD_01605	CDS	885	yvcJ		COG1660	Nucleotide-binding protein YvcJ
GEALKAJD_01606	CDS	732		5.1.1.13		Aspartate racemase
GEALKAJD_01607	CDS	1266		6.3.1.12		D-aspartate ligase
GEALKAJD_01608	CDS	2817	uvrA			UvrABC system protein A
GEALKAJD_01609	CDS	1995	uvrB		COG0556	UvrABC system protein B
GEALKAJD_01610	CDS	1503	mltF_2	4.2.2.-		Membrane-bound lytic murein transglycosylase F
GEALKAJD_01611	CDS	738	artM_2		COG1126	Arginine transport ATP-binding protein ArtM
GEALKAJD_01612	CDS	630				hypothetical protein
GEALKAJD_01613	CDS	1167	dnaJ		COG0484	Chaperone protein DnaJ
GEALKAJD_01614	CDS	1830	dnaK		COG0443	Chaperone protein DnaK
GEALKAJD_01615	CDS	411	grpE			Protein GrpE
GEALKAJD_01616	CDS	1044	hrcA		COG1420	Heat-inducible transcription repressor HrcA
GEALKAJD_01617	CDS	1167	hemW		COG0635	Heme chaperone HemW
GEALKAJD_01618	CDS	228				hypothetical protein
GEALKAJD_01619	CDS	591	ydeA	3.2.-.-	COG0693	putative protease YdeA
GEALKAJD_01620	CDS	714				hypothetical protein
GEALKAJD_01621	CDS	1011	mccF			Microcin C7 self-immunity protein MccF
GEALKAJD_01622	CDS	483				hypothetical protein
GEALKAJD_01623	CDS	369	fra		COG5646	Intracellular iron chaperone frataxin
GEALKAJD_01624	CDS	453				hypothetical protein
GEALKAJD_01625	CDS	852	glcU_2		COG4975	Glucose uptake protein GlcU
GEALKAJD_01626	CDS	786	gdhIV	1.1.1.47	COG1028	Glucose 1-dehydrogenase 4
GEALKAJD_01627	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
GEALKAJD_01628	CDS	924	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
GEALKAJD_01629	CDS	885	xpkA_1	4.1.2.9		Xylulose-5-phosphate phosphoketolase
GEALKAJD_01630	CDS	1485	xpkA_2	4.1.2.9		Xylulose-5-phosphate phosphoketolase
GEALKAJD_01631	CDS	348	rbfA			Ribosome-binding factor A
GEALKAJD_01632	CDS	2307	infB			Translation initiation factor IF-2
GEALKAJD_01633	CDS	312	rplGA		COG1358	putative ribosomal protein YlxQ
GEALKAJD_01634	CDS	294				hypothetical protein
GEALKAJD_01635	CDS	1176	nusA		COG0195	Transcription termination/antitermination protein NusA
GEALKAJD_01636	CDS	474	rimP		COG0779	Ribosome maturation factor RimP
GEALKAJD_01637	CDS	4359	polC_2	2.7.7.7	COG2176	DNA polymerase III PolC-type
GEALKAJD_01638	CDS	1710	proS	6.1.1.15	COG0442	Proline--tRNA ligase
GEALKAJD_01639	CDS	1269	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
GEALKAJD_01640	CDS	801				hypothetical protein
GEALKAJD_01641	CDS	813	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
GEALKAJD_01642	CDS	558	frr			Ribosome-recycling factor
GEALKAJD_01643	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
GEALKAJD_01644	CDS	882	tsf		COG0264	Elongation factor Ts
GEALKAJD_01645	CDS	783	rpsB		COG0052	30S ribosomal protein S2
GEALKAJD_01646	CDS	480	argR_3			Arginine repressor
GEALKAJD_01647	CDS	1092	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
GEALKAJD_01648	CDS	129	phnX_1	3.11.1.1		Phosphonoacetaldehyde hydrolase
GEALKAJD_01649	CDS	546	phnX_2	3.11.1.1		Phosphonoacetaldehyde hydrolase
GEALKAJD_01650	CDS	1692	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
GEALKAJD_01651	CDS	948	arcC1	2.7.2.2		Carbamate kinase 1
GEALKAJD_01652	CDS	1020	arcB	2.1.3.3		Ornithine carbamoyltransferase, catabolic
GEALKAJD_01653	CDS	1230	arcA	3.5.3.6		Arginine deiminase
GEALKAJD_01654	CDS	702				hypothetical protein
GEALKAJD_01655	CDS	1017	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
GEALKAJD_01656	CDS	465	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
GEALKAJD_01657	CDS	543				hypothetical protein
GEALKAJD_01658	CDS	825	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
GEALKAJD_01659	CDS	981	melR_3		COG1609	HTH-type transcriptional repressor MelR
GEALKAJD_01660	CDS	1485	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
GEALKAJD_01661	CDS	990	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
GEALKAJD_01662	CDS	168				hypothetical protein
GEALKAJD_01663	CDS	1812				hypothetical protein
GEALKAJD_01664	CDS	366				hypothetical protein
GEALKAJD_01665	CDS	396	yibN		COG0607	putative protein YibN
GEALKAJD_01666	CDS	963	glcK	2.7.1.2	COG1940	Glucokinase
GEALKAJD_01667	CDS	213	yqgQ		COG4483	putative protein YqgQ
GEALKAJD_01668	CDS	699	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
GEALKAJD_01669	CDS	543	yqgN		COG0212	putative protein YqgN
GEALKAJD_01670	CDS	1005	feuC		COG0609	Iron-uptake system permease protein FeuC
GEALKAJD_01671	CDS	771	feuB		COG0609	Iron-uptake system permease protein FeuB
GEALKAJD_01672	CDS	807	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
GEALKAJD_01673	CDS	957	yfiY		COG0614	putative siderophore-binding lipoprotein YfiY
GEALKAJD_01674	CDS	519	folA_2	1.5.1.3		Dihydrofolate reductase
GEALKAJD_01675	CDS	150	rpmGA			50S ribosomal protein L33 1
GEALKAJD_01676	CDS	447				hypothetical protein
GEALKAJD_01677	CDS	1896	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
GEALKAJD_01678	CDS	1446				IS1182 family transposase ISEfa7
GEALKAJD_01679	CDS	351	cbh_1	3.5.1.24		Choloylglycine hydrolase
GEALKAJD_01680	CDS	1155				IS256 family transposase ISEf1
GEALKAJD_01681	CDS	582	cbh_2	3.5.1.24		Choloylglycine hydrolase
GEALKAJD_01682	tRNA	88				tRNA-Ser(cga)
GEALKAJD_01683	CDS	567				hypothetical protein
GEALKAJD_01684	CDS	1332				hypothetical protein
GEALKAJD_01685	CDS	351				hypothetical protein
GEALKAJD_01686	CDS	420				hypothetical protein
GEALKAJD_01687	CDS	345				hypothetical protein
GEALKAJD_01688	CDS	954			COG2826	IS30 family transposase IS1252
GEALKAJD_01689	CDS	597				hypothetical protein
GEALKAJD_01690	CDS	1800				hypothetical protein
GEALKAJD_01691	CDS	111				hypothetical protein
GEALKAJD_01692	CDS	213				hypothetical protein
GEALKAJD_01693	CDS	150				hypothetical protein
GEALKAJD_01694	CDS	960			COG2826	IS30 family transposase IS1062
GEALKAJD_01695	CDS	705				IS982 family transposase ISEfm1
GEALKAJD_01696	CDS	387				hypothetical protein
GEALKAJD_01697	CDS	1347	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
GEALKAJD_01698	CDS	1350	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
GEALKAJD_01699	CDS	1254	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
GEALKAJD_01700	CDS	486	ybaK_1	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
GEALKAJD_01701	CDS	759	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
GEALKAJD_01702	CDS	1179	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
GEALKAJD_01703	CDS	2121	ltaS1_2		COG1368	Lipoteichoic acid synthase 1
GEALKAJD_01704	CDS	726				hypothetical protein
GEALKAJD_01705	CDS	510				hypothetical protein
GEALKAJD_01706	CDS	1449	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
GEALKAJD_01707	CDS	717	srrA_1		COG0745	Transcriptional regulatory protein SrrA
GEALKAJD_01708	CDS	351				hypothetical protein
GEALKAJD_01709	CDS	774		3.1.3.-		Putative phosphatase
GEALKAJD_01710	tmRNA	364	ssrA			transfer-messenger RNA, SsrA
GEALKAJD_01711	CDS	303				hypothetical protein
GEALKAJD_01712	CDS	1179				IS256 family transposase ISEf1
GEALKAJD_01713	tRNA	74				tRNA-Met(cat)
GEALKAJD_01714	CDS	1179				IS256 family transposase ISEf1
GEALKAJD_01715	CDS	240				hypothetical protein
GEALKAJD_01716	CDS	261				hypothetical protein
GEALKAJD_01717	CDS	498				hypothetical protein
GEALKAJD_01718	CDS	711	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
GEALKAJD_01719	CDS	1665	alsS	2.2.1.6	COG0028	Acetolactate synthase
GEALKAJD_01720	CDS	1041				IS256 family transposase ISEf1
GEALKAJD_01721	CDS	216				hypothetical protein
GEALKAJD_01722	CDS	816	araQ_3		COG0395	L-arabinose transport system permease protein AraQ
GEALKAJD_01723	CDS	444				hypothetical protein
GEALKAJD_01724	CDS	306	hdfR_3			HTH-type transcriptional regulator HdfR
GEALKAJD_01725	CDS	378	adhR		COG0789	HTH-type transcriptional regulator AdhR
GEALKAJD_01726	CDS	1194	yjhB			Putative metabolite transport protein YjhB
GEALKAJD_01727	CDS	423				hypothetical protein
GEALKAJD_01728	CDS	495				hypothetical protein
GEALKAJD_01729	CDS	198				hypothetical protein
GEALKAJD_01730	CDS	1173				hypothetical protein
GEALKAJD_01731	CDS	816				hypothetical protein
GEALKAJD_01732	CDS	447				hypothetical protein
GEALKAJD_01733	CDS	1014				hypothetical protein
GEALKAJD_01734	CDS	459				hypothetical protein
GEALKAJD_01735	CDS	2322				hypothetical protein
GEALKAJD_01736	CDS	294				hypothetical protein
GEALKAJD_01737	CDS	1179	xerC_8			Tyrosine recombinase XerC
GEALKAJD_01738	CDS	309				hypothetical protein
GEALKAJD_01739	CDS	216				hypothetical protein
GEALKAJD_01740	CDS	252				hypothetical protein
GEALKAJD_01741	CDS	429				hypothetical protein
GEALKAJD_01742	CDS	1548				IS66 family transposase ISRob1
GEALKAJD_01743	CDS	366				hypothetical protein
GEALKAJD_01744	CDS	195				hypothetical protein
GEALKAJD_01745	CDS	375				hypothetical protein
GEALKAJD_01746	CDS	1401				hypothetical protein
GEALKAJD_01747	CDS	411				hypothetical protein
GEALKAJD_01748	CDS	492	manX_4	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
GEALKAJD_01749	CDS	792	manZ_5		COG3716	PTS system mannose-specific EIID component
GEALKAJD_01750	CDS	774	sorC_1		COG3715	PTS system sorbose-specific EIIC component
GEALKAJD_01751	CDS	2577	dgaR_4			Transcriptional regulatory protein DagR
GEALKAJD_01752	CDS	873	gmuE_3	2.7.1.4	COG1940	Putative fructokinase
GEALKAJD_01753	CDS	468				hypothetical protein
GEALKAJD_01754	CDS	1470	treP_1		COG1263	PTS system trehalose-specific EIIBC component
GEALKAJD_01755	CDS	1419	bfrA	3.2.1.26	COG1621	Beta-fructosidase
GEALKAJD_01756	CDS	981	degA_3		COG1609	HTH-type transcriptional regulator DegA
GEALKAJD_01757	CDS	837				IS3 family transposase ISEfa8
GEALKAJD_01758	CDS	291				IS3 family transposase ISEfa8
GEALKAJD_01759	CDS	480				hypothetical protein
GEALKAJD_01760	CDS	954			COG2826	IS30 family transposase IS1252
GEALKAJD_01761	CDS	1122			COG3385	IS4 family transposase IS4Bsu1
GEALKAJD_01762	CDS	1419				hypothetical protein
GEALKAJD_01763	CDS	729				IS21 family transposase ISCth15
GEALKAJD_01764	CDS	912				hypothetical protein
GEALKAJD_01765	CDS	1008				hypothetical protein
GEALKAJD_01766	CDS	2130				hypothetical protein
GEALKAJD_01767	CDS	1188				IS256 family transposase IS16
GEALKAJD_01768	CDS	2346				hypothetical protein
GEALKAJD_01769	CDS	390				hypothetical protein
GEALKAJD_01770	CDS	897				hypothetical protein
GEALKAJD_01771	CDS	1848				hypothetical protein
GEALKAJD_01772	CDS	501				hypothetical protein
GEALKAJD_01773	CDS	1911				hypothetical protein
GEALKAJD_01774	CDS	138				hypothetical protein
GEALKAJD_01775	CDS	1185				hypothetical protein
GEALKAJD_01776	CDS	255				hypothetical protein
GEALKAJD_01777	CDS	1143				IS1595 family transposase ISCco3
GEALKAJD_01778	CDS	1353				hypothetical protein
GEALKAJD_01779	CDS	345				hypothetical protein
GEALKAJD_01780	CDS	375				hypothetical protein
GEALKAJD_01781	CDS	315				hypothetical protein
GEALKAJD_01782	CDS	3228				hypothetical protein
GEALKAJD_01783	CDS	663				hypothetical protein
GEALKAJD_01784	CDS	348	rplS		COG0335	50S ribosomal protein L19
GEALKAJD_01785	CDS	762	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
GEALKAJD_01786	CDS	522	rimM			Ribosome maturation factor RimM
GEALKAJD_01787	CDS	792				hypothetical protein
GEALKAJD_01788	CDS	252				hypothetical protein
GEALKAJD_01789	CDS	276	rpsP		COG0228	30S ribosomal protein S16
GEALKAJD_01790	CDS	555	chrR	1.6.5.2	COG0431	Quinone reductase
GEALKAJD_01791	CDS	522				IS1595 family transposase ISCac2
GEALKAJD_01792	CDS	579	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
GEALKAJD_01793	CDS	1419	ffh		COG0541	Signal recognition particle protein
GEALKAJD_01794	CDS	339				hypothetical protein
GEALKAJD_01795	CDS	504				hypothetical protein
GEALKAJD_01796	CDS	705	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
GEALKAJD_01797	CDS	1737	phoR_1	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
GEALKAJD_01798	CDS	2472	ctpE_2	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
GEALKAJD_01799	CDS	1170				ISL3 family transposase IS1476
GEALKAJD_01800	CDS	813				ISL3 family transposase IS1251
GEALKAJD_01801	CDS	510				ISL3 family transposase IS1251
GEALKAJD_01802	CDS	891	pstS1_1		COG0226	Phosphate-binding protein PstS 1
GEALKAJD_01803	CDS	483				hypothetical protein
GEALKAJD_01804	CDS	366				hypothetical protein
GEALKAJD_01805	CDS	318				hypothetical protein
GEALKAJD_01806	CDS	1188				IS256 family transposase IS16
GEALKAJD_01807	CDS	1296				ISL3 family transposase ISEfa5
GEALKAJD_01808	CDS	975	cbh_3	3.5.1.24		Choloylglycine hydrolase
GEALKAJD_01809	CDS	237				hypothetical protein
GEALKAJD_01810	CDS	231				hypothetical protein
GEALKAJD_01811	CDS	300				hypothetical protein
GEALKAJD_01812	CDS	543				IS110 family transposase ISSpn10
GEALKAJD_01813	CDS	183				hypothetical protein
GEALKAJD_01814	CDS	102				hypothetical protein
GEALKAJD_01815	CDS	417				hypothetical protein
GEALKAJD_01816	CDS	261				IS3 family transposase ISEnfa3
GEALKAJD_01817	CDS	345				IS3 family transposase ISEnfa3
GEALKAJD_01818	CDS	537				hypothetical protein
GEALKAJD_01819	CDS	1176				IS256 family transposase ISEf1
GEALKAJD_01820	CDS	537				hypothetical protein
GEALKAJD_01821	CDS	513				IS3 family transposase ISEnfa3
GEALKAJD_01822	CDS	261				IS3 family transposase ISEnfa3
GEALKAJD_01823	CDS	693				hypothetical protein
GEALKAJD_01824	CDS	570				hypothetical protein
GEALKAJD_01825	CDS	324				hypothetical protein
GEALKAJD_01826	CDS	813				hypothetical protein
GEALKAJD_01827	CDS	849				hypothetical protein
GEALKAJD_01828	CDS	324				hypothetical protein
GEALKAJD_01829	CDS	753				hypothetical protein
GEALKAJD_01830	CDS	1299				hypothetical protein
GEALKAJD_01831	CDS	741				hypothetical protein
GEALKAJD_01832	CDS	2172	copB	7.2.2.8		Copper-exporting P-type ATPase B
GEALKAJD_01833	CDS	2187	copA	7.2.2.8		putative copper-importing P-type ATPase A
GEALKAJD_01834	CDS	210	copZ			Copper chaperone CopZ
GEALKAJD_01835	CDS	441	copY			Transcriptional repressor CopY
GEALKAJD_01836	CDS	540				hypothetical protein
GEALKAJD_01837	CDS	1296				ISL3 family transposase ISEfa5
GEALKAJD_01838	CDS	1467	ycaM		COG0531	Inner membrane transporter YcaM
GEALKAJD_01839	CDS	1848	cadA_1	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
GEALKAJD_01840	CDS	129	cadA_2	3.6.3.3		putative cadmium-transporting ATPase
GEALKAJD_01841	CDS	360	yccF		COG3304	Inner membrane protein YccF
GEALKAJD_01842	CDS	342				hypothetical protein
GEALKAJD_01843	CDS	675	axe2	3.1.1.72		Acetylxylan esterase
GEALKAJD_01844	CDS	1299	asnS	6.1.1.22		Asparagine--tRNA ligase
GEALKAJD_01845	CDS	1191	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
GEALKAJD_01846	CDS	504				hypothetical protein
GEALKAJD_01847	CDS	2790	dinG_2	3.1.-.-		3'-5' exonuclease DinG
GEALKAJD_01848	CDS	201	cspLA		COG1278	Cold shock-like protein CspLA
GEALKAJD_01849	CDS	165				hypothetical protein
GEALKAJD_01850	CDS	321				hypothetical protein
GEALKAJD_01851	CDS	1119				hypothetical protein
GEALKAJD_01852	CDS	123				hypothetical protein
GEALKAJD_01853	CDS	1308	dacA	3.4.16.4		D-alanyl-D-alanine carboxypeptidase DacA
GEALKAJD_01854	CDS	1200				hypothetical protein
GEALKAJD_01855	CDS	1269	eriC		COG0038	Chloride/fluoride channel protein
GEALKAJD_01856	CDS	648				hypothetical protein
GEALKAJD_01857	CDS	504				hypothetical protein
GEALKAJD_01858	CDS	237	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
GEALKAJD_01859	CDS	573	aviRb	2.1.1.208		23S rRNA (uridine(2479)-2'-O)-methyltransferase
GEALKAJD_01860	CDS	276	acyP	3.6.1.7	COG1254	Acylphosphatase
GEALKAJD_01861	CDS	348				hypothetical protein
GEALKAJD_01862	CDS	930	yidC			Membrane protein insertase YidC
GEALKAJD_01863	CDS	495				hypothetical protein
GEALKAJD_01864	CDS	582				IS1182 family transposase ISBpu1
GEALKAJD_01865	CDS	162				hypothetical protein
GEALKAJD_01866	CDS	909				IS982 family transposase ISEfm1
GEALKAJD_01867	CDS	498	paiA_3	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
GEALKAJD_01868	CDS	738				hypothetical protein
GEALKAJD_01869	CDS	222				hypothetical protein
GEALKAJD_01870	CDS	291				IS3 family transposase IS1485
GEALKAJD_01871	CDS	837				IS3 family transposase IS1485
GEALKAJD_01872	CDS	339				hypothetical protein
GEALKAJD_01873	CDS	954			COG2826	IS30 family transposase IS1252
GEALKAJD_01874	CDS	675				hypothetical protein
GEALKAJD_01875	CDS	192				hypothetical protein
GEALKAJD_01876	CDS	267				hypothetical protein
GEALKAJD_01877	CDS	417				hypothetical protein
GEALKAJD_01878	CDS	1548				IS66 family transposase ISRob1
GEALKAJD_01879	CDS	354				hypothetical protein
GEALKAJD_01880	CDS	195				hypothetical protein
GEALKAJD_01881	CDS	327				hypothetical protein
GEALKAJD_01882	CDS	168				hypothetical protein
GEALKAJD_01883	CDS	867	rhaS_4			HTH-type transcriptional activator RhaS
