"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Enterococcus_faecium_strain1","Enterococcus_faecium_strain2"
"group_643","","hypothetical protein","2","2","1","7","475","","","","299","299","299","PCFFDBNJ_02090","GEALKAJD_02216"
"dppC","","Dipeptide transport system permease protein DppC","2","2","1","7","490","","","","1043","1043","1043","PCFFDBNJ_02105","GEALKAJD_02202"
"group_645","","hypothetical protein","2","2","1","7","498","","","","500","587","543","PCFFDBNJ_02113","GEALKAJD_02195"
"rsmA","","Ribosomal RNA small subunit methyltransferase A","2","2","1","7","502","","","","884","884","884","PCFFDBNJ_02117","GEALKAJD_02191"
"niaX","","Niacin transporter NiaX","2","2","1","7","503","","","","629","629","629","PCFFDBNJ_02118","GEALKAJD_02190"
"sorA_2","","PTS system sorbose-specific EIIC component","2","2","1","7","513","","","","779","779","779","PCFFDBNJ_02130","GEALKAJD_02180"
"frlB_1","","Fructosamine deglycase FrlB","2","2","1","7","516","","","","1004","1004","1004","PCFFDBNJ_02133","GEALKAJD_02177"
"gtaB_2","","UTP--glucose-1-phosphate uridylyltransferase","2","2","1","7","521","","","","881","881","881","PCFFDBNJ_02138","GEALKAJD_02175"
"group_651","","hypothetical protein","2","2","1","7","523","","","","614","614","614","PCFFDBNJ_02140","GEALKAJD_02173"
"lolD","","Lipoprotein-releasing system ATP-binding protein LolD","2","2","1","7","528","","","","662","662","662","PCFFDBNJ_02144","GEALKAJD_02169"
"group_653","","hypothetical protein","2","2","1","7","529","","","","1496","1502","1499","PCFFDBNJ_02145","GEALKAJD_02168"
"ybaK_2","","Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK","2","2","1","7","531","","","","476","476","476","PCFFDBNJ_02147","GEALKAJD_02166"
"group_655","","hypothetical protein","2","2","1","7","532","","","","680","680","680","PCFFDBNJ_02148","GEALKAJD_02165"
"nrnA","","putative bifunctional oligoribonuclease and PAP phosphatase NrnA","2","2","1","7","534","","","","962","962","962","PCFFDBNJ_02150","GEALKAJD_02163"
"group_657","","hypothetical protein","2","2","1","7","535","","","","338","338","338","PCFFDBNJ_02151","GEALKAJD_02162"
"group_658","","hypothetical protein","2","2","1","7","543","","","","335","335","335","PCFFDBNJ_02156","GEALKAJD_02157"
"tadA_2","","tRNA-specific adenosine deaminase","2","2","1","7","545","","","","497","515","506","PCFFDBNJ_02158","GEALKAJD_02155"
"group_66","","hypothetical protein","2","2","1","7","3620","","","","182","257","219","PCFFDBNJ_00524","GEALKAJD_01813"
"group_660","","hypothetical protein","2","2","1","7","547","","","","1385","1385","1385","PCFFDBNJ_02159","GEALKAJD_02153"
"group_661","","hypothetical protein","2","2","1","7","548","","","","677","677","677","PCFFDBNJ_02160","GEALKAJD_02152"
"group_662","","hypothetical protein","2","2","1","7","550","","","","659","659","659","PCFFDBNJ_02162","GEALKAJD_02150"
"group_663","","hypothetical protein","2","2","1","7","556","","","","362","362","362","PCFFDBNJ_02168","GEALKAJD_02144"
"rlhA","","23S rRNA 5-hydroxycytidine synthase","2","2","1","7","2740","","","","923","923","923","PCFFDBNJ_02174","GEALKAJD_02625"
"group_665","","hypothetical protein","2","2","1","7","2739","","","","1250","1250","1250","PCFFDBNJ_02175","GEALKAJD_02624"
"gor","","Glutathione reductase","2","2","1","7","2738","","","","1346","1346","1346","PCFFDBNJ_02176","GEALKAJD_02623"
"apbE","","FAD:protein FMN transferase","2","2","1","7","2730","","","","1103","1103","1103","PCFFDBNJ_02184","GEALKAJD_02621"
"group_668","","hypothetical protein","2","2","1","7","2727","","","","416","416","416","PCFFDBNJ_02187","GEALKAJD_02618"
"group_669","","hypothetical protein","2","2","1","7","2726","","","","548","566","557","PCFFDBNJ_02188","GEALKAJD_02617"
"hepT","","Heptaprenyl diphosphate synthase component 2","2","2","1","7","2725","","","","986","986","986","PCFFDBNJ_02189","GEALKAJD_02616"
"birA","","Bifunctional ligase/repressor BirA","2","2","1","7","2722","","","","968","968","968","PCFFDBNJ_02199","GEALKAJD_02613"
"yxdL_2","","ABC transporter ATP-binding protein YxdL","2","2","1","7","2720","","","","806","806","806","PCFFDBNJ_02200","GEALKAJD_02612"
"msrA_4","","Peptide methionine sulfoxide reductase MsrA 2","2","2","1","7","2704","","","","527","527","527","PCFFDBNJ_02206","GEALKAJD_02596"
"rplM","","50S ribosomal protein L13","2","2","1","7","2698","","","","443","557","500","PCFFDBNJ_02210","GEALKAJD_02592"
"group_675","","hypothetical protein","2","2","1","7","2692","","","","215","1343","779","PCFFDBNJ_02216","GEALKAJD_02590"
"phoR_2","","Alkaline phosphatase synthesis sensor protein PhoR","2","2","1","7","2688","","","","896","896","896","PCFFDBNJ_02220","GEALKAJD_02586"
"mutS_2","","DNA mismatch repair protein MutS","2","2","1","7","2687","","","","1649","1649","1649","PCFFDBNJ_02226","GEALKAJD_02585"
"group_678","","Zinc-type alcohol dehydrogenase-like protein","2","2","1","7","2682","","","","1037","1037","1037","PCFFDBNJ_02230","GEALKAJD_02580"
"group_679","","hypothetical protein","2","2","1","7","2664","","","","863","863","863","PCFFDBNJ_02246","GEALKAJD_02575"
"ywnA","","Putative HTH-type transcriptional regulator YwnA","2","2","1","7","2662","","","","467","467","467","PCFFDBNJ_02248","GEALKAJD_02573"
"qorB","","Quinone oxidoreductase 2","2","2","1","7","2661","","","","851","851","851","PCFFDBNJ_02249","GEALKAJD_02572"
"group_682","","hypothetical protein","2","2","1","7","2657","","","","1268","1268","1268","PCFFDBNJ_02252","GEALKAJD_02565"
"msr(C)","","ABC-F type ribosomal protection protein Msr(C)","2","2","1","7","2650","","","","1478","1478","1478","PCFFDBNJ_02256","GEALKAJD_02562"
"sigH","","RNA polymerase sigma-H factor","2","2","1","7","2632","","","","578","578","578","PCFFDBNJ_02273","GEALKAJD_02544"
"elaA","","Protein ElaA","2","2","1","7","2630","","","","446","446","446","PCFFDBNJ_02275","GEALKAJD_02542"
"mscL","","Large-conductance mechanosensitive channel","2","2","1","7","2629","","","","461","461","461","PCFFDBNJ_02276","GEALKAJD_02541"
"group_687","","hypothetical protein","2","2","1","7","2628","","","","1268","1268","1268","PCFFDBNJ_02277","GEALKAJD_02540"
"group_688","","hypothetical protein","2","2","1","7","2626","","","","884","923","903","PCFFDBNJ_02279","GEALKAJD_02538"
"proC","","Pyrroline-5-carboxylate reductase","2","2","1","7","2621","","","","803","806","804","PCFFDBNJ_02284","GEALKAJD_02533"
"mprF_2","","Phosphatidylglycerol lysyltransferase","2","2","1","7","2620","","","","2573","2573","2573","PCFFDBNJ_02285","GEALKAJD_02532"
"ispE","","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","2","2","1","7","2619","","","","845","845","845","PCFFDBNJ_02286","GEALKAJD_02531"
"znuA","","High-affinity zinc uptake system binding-protein ZnuA","2","2","1","7","2618","","","","938","938","938","PCFFDBNJ_02287","GEALKAJD_02530"
"group_693","","hypothetical protein","2","2","1","7","2611","","","","773","773","773","PCFFDBNJ_02294","GEALKAJD_02523"
"group_694","","hypothetical protein","2","2","1","7","2608","","","","890","890","890","PCFFDBNJ_02297","GEALKAJD_02520"
"group_695","","hypothetical protein","2","2","1","7","2607","","","","284","305","294","PCFFDBNJ_02298","GEALKAJD_02519"
"def1","","Peptide deformylase","2","2","1","7","2603","","","","491","491","491","PCFFDBNJ_02302","GEALKAJD_02515"
"fmt","","Methionyl-tRNA formyltransferase","2","2","1","7","2602","","","","938","938","938","PCFFDBNJ_02303","GEALKAJD_02514"
"rsmB","","Ribosomal RNA small subunit methyltransferase B","2","2","1","7","2601","","","","1358","1358","1358","PCFFDBNJ_02304","GEALKAJD_02513"
"prkC","","Serine/threonine-protein kinase PrkC","2","2","1","7","2599","","","","2069","2069","2069","PCFFDBNJ_02306","GEALKAJD_02511"
"rsgA","","Small ribosomal subunit biogenesis GTPase RsgA","2","2","1","7","2598","","","","899","899","899","PCFFDBNJ_02307","GEALKAJD_02510"
"pepF1_2","","Oligoendopeptidase F, plasmid","2","2","1","7","2592","","","","1799","1799","1799","PCFFDBNJ_02313","GEALKAJD_02504"
"group_702","","hypothetical protein","2","2","1","7","2590","","","","506","506","506","PCFFDBNJ_02314","GEALKAJD_02503"
"group_703","","hypothetical protein","2","2","1","7","2588","","","","1397","1400","1398","PCFFDBNJ_02316","GEALKAJD_02501"
"pth","","Peptidyl-tRNA hydrolase","2","2","1","7","2586","","","","560","560","560","PCFFDBNJ_02318","GEALKAJD_02499"
"dusB","","tRNA-dihydrouridine synthase B","2","2","1","7","2574","","","","1004","1004","1004","PCFFDBNJ_02328","GEALKAJD_02488"
"spxA_4","","Regulatory protein Spx","2","2","1","7","3114","","","","356","356","356","PCFFDBNJ_02330","GEALKAJD_00451"
"group_707","","hypothetical protein","2","2","1","7","3111","","","","683","683","683","PCFFDBNJ_02333","GEALKAJD_00448"
"group_708","","hypothetical protein","2","2","1","7","3109","","","","206","206","206","PCFFDBNJ_02335","GEALKAJD_00446"
"group_709","","hypothetical protein","2","2","1","7","3106","","","","1280","1280","1280","PCFFDBNJ_02338","GEALKAJD_00443"
"phnX_1","","Phosphonoacetaldehyde hydrolase","2","2","1","7","3526","","","","128","197","162","PCFFDBNJ_00570","GEALKAJD_01648"
"group_710","","hypothetical protein","2","2","1","7","3104","","","","1523","1523","1523","PCFFDBNJ_02340","GEALKAJD_00441"
"group_711","","hypothetical protein","2","2","1","7","3103","","","","1181","1181","1181","PCFFDBNJ_02341","GEALKAJD_00440"
"treA","","Trehalose-6-phosphate hydrolase","2","2","1","7","3102","","","","1628","1628","1628","PCFFDBNJ_02342","GEALKAJD_00439"
"group_713","","hypothetical protein","2","2","1","7","3101","","","","2711","2711","2711","PCFFDBNJ_02343","GEALKAJD_00438"
"yecD","","Isochorismatase family protein YecD","2","2","1","7","3099","","","","599","602","600","PCFFDBNJ_02345","GEALKAJD_00436"
"degA_2","","HTH-type transcriptional regulator DegA","2","2","1","7","3098","","","","1013","1013","1013","PCFFDBNJ_02346","GEALKAJD_00435"
"rbsK","","Ribokinase","2","2","1","7","3097","","","","917","923","920","PCFFDBNJ_02347","GEALKAJD_00434"
"bceB_1","","Bacitracin export permease protein BceB","2","2","1","7","3092","","","","1802","1802","1802","PCFFDBNJ_02352","GEALKAJD_00429"
"group_718","","hypothetical protein","2","2","1","7","3088","","","","362","362","362","PCFFDBNJ_02354","GEALKAJD_00427"
"group_719","","hypothetical protein","2","2","1","7","3087","","","","872","872","872","PCFFDBNJ_02355","GEALKAJD_00426"
"group_720","","hypothetical protein","2","2","1","7","3086","","","","488","488","488","PCFFDBNJ_02356","GEALKAJD_00425"
"group_721","","hypothetical protein","2","2","1","7","3084","","","","608","608","608","PCFFDBNJ_02358","GEALKAJD_00423"
"sasA_3","","Sensor histidine kinase RcsC","2","2","1","7","3080","","","","953","1043","998","PCFFDBNJ_02362","GEALKAJD_00419"
"vdcB","","putative UbiX-like flavin prenyltransferase","2","2","1","7","3073","","","","584","584","584","PCFFDBNJ_02367","GEALKAJD_00414"
"group_724","","hypothetical protein","2","2","1","7","3072","","","","419","452","435","PCFFDBNJ_02368","GEALKAJD_00413"
"group_725","","hypothetical protein","2","2","1","7","3067","","","","551","554","552","PCFFDBNJ_02373","GEALKAJD_00408"
"ptsG_2","","PTS system glucose-specific EIICBA component","2","2","1","7","3060","","","","2165","2165","2165","PCFFDBNJ_02379","GEALKAJD_00402"
"malP","","Maltose phosphorylase","2","2","1","7","3059","","","","2294","2294","2294","PCFFDBNJ_02380","GEALKAJD_00401"
"pgmB","","Beta-phosphoglucomutase","2","2","1","7","3058","","","","665","665","665","PCFFDBNJ_02381","GEALKAJD_00400"
"mro_2","","Aldose 1-epimerase","2","2","1","7","3057","","","","1007","1007","1007","PCFFDBNJ_02382","GEALKAJD_00399"
"xpkA_2","","Xylulose-5-phosphate phosphoketolase","2","2","1","7","3508","","","","1484","2363","1923","PCFFDBNJ_00588","GEALKAJD_01630"
"ccpA_1","","Catabolite control protein A","2","2","1","7","3056","","","","1019","1025","1022","PCFFDBNJ_02383","GEALKAJD_00398"
"nhaC_1","","Na(+)/H(+) antiporter NhaC","2","2","1","7","3055","","","","1367","1367","1367","PCFFDBNJ_02386","GEALKAJD_00397"
"group_732","","hypothetical protein","2","2","1","7","3051","","","","1301","1301","1301","PCFFDBNJ_02390","GEALKAJD_00393"
"group_733","","Multidrug efflux system ATP-binding protein","2","2","1","7","3049","","","","881","881","881","PCFFDBNJ_02392","GEALKAJD_00391"
"group_734","","Multidrug efflux system permease protein","2","2","1","7","3048","","","","1610","1610","1610","PCFFDBNJ_02393","GEALKAJD_00390"
"dhaL","","PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL","2","2","1","7","3040","","","","605","605","605","PCFFDBNJ_02400","GEALKAJD_00387"
"group_736","","hypothetical protein","2","2","1","7","2091","","","","95","509","302","PCFFDBNJ_02407","GEALKAJD_00380"
"helD_2","","DNA helicase IV","2","2","1","7","2092","","","","2135","2135","2135","PCFFDBNJ_02408","GEALKAJD_00379"
"csoR","","Copper-sensing transcriptional repressor CsoR","2","2","1","7","2095","","","","260","260","260","PCFFDBNJ_02411","GEALKAJD_00376"
"group_739","","hypothetical protein","2","2","1","7","2096","","","","314","314","314","PCFFDBNJ_02412","GEALKAJD_00375"
"pgsA2","","Putative cardiolipin synthase","2","2","1","7","2097","","","","554","554","554","PCFFDBNJ_02413","GEALKAJD_00374"
"group_741","mutS2_2","Endonuclease MutS2","2","2","1","7","2099","","","","1475","1928","1701","PCFFDBNJ_02414","GEALKAJD_00372"
"group_742","","hypothetical protein","2","2","1","7","2104","","","","1460","1460","1460","PCFFDBNJ_02418","GEALKAJD_00367"
"hchA","","Protein/nucleic acid deglycase 1","2","2","1","7","2108","","","","677","677","677","PCFFDBNJ_02420","GEALKAJD_00365"
"group_744","","hypothetical protein","2","2","1","7","2110","","","","434","434","434","PCFFDBNJ_02422","GEALKAJD_00363"
"malL_2","","Oligo-1,6-glucosidase","2","2","1","7","2115","","","","1622","1637","1629","PCFFDBNJ_02423","GEALKAJD_00358"
"group_746","","hypothetical protein","2","2","1","7","2117","","","","224","224","224","PCFFDBNJ_02425","GEALKAJD_00356"
"group_747","","hypothetical protein","2","2","1","7","2118","","","","368","371","369","PCFFDBNJ_02426","GEALKAJD_00355"
"group_748","","hypothetical protein","2","2","1","7","2120","","","","710","710","710","PCFFDBNJ_02427","GEALKAJD_00354"
"group_749","","hypothetical protein","2","2","1","7","2124","","","","620","620","620","PCFFDBNJ_02431","GEALKAJD_00350"
"group_750","","hypothetical protein","2","2","1","7","2129","","","","2081","2093","2087","PCFFDBNJ_02436","GEALKAJD_00343"
"mazF","","Endoribonuclease toxin MazF","2","2","1","7","2130","","","","341","341","341","PCFFDBNJ_02437","GEALKAJD_00504"
"mdcG","","Phosphoribosyl-dephospho-CoA transferase","2","2","1","7","2219","","","","593","593","593","PCFFDBNJ_02442","GEALKAJD_00338"
"group_753","","hypothetical protein","2","2","1","7","2213","","","","362","362","362","PCFFDBNJ_02448","GEALKAJD_00332"
"group_754","","Calcium-transporting ATPase 1","2","2","1","7","2211","","","","2552","2552","2552","PCFFDBNJ_02450","GEALKAJD_00330"
"gadC_3","","putative glutamate/gamma-aminobutyrate antiporter","2","2","1","7","2209","","","","1478","1478","1478","PCFFDBNJ_02452","GEALKAJD_00328"
"group_756","","hypothetical protein","2","2","1","7","2204","","","","365","365","365","PCFFDBNJ_02456","GEALKAJD_00325"
"group_757","","hypothetical protein","2","2","1","7","2203","","","","365","365","365","PCFFDBNJ_02457","GEALKAJD_00324"
"gmuD_1","","6-phospho-beta-glucosidase GmuD","2","2","1","7","2193","","","","1415","1415","1415","PCFFDBNJ_02467","GEALKAJD_00314"
"lutR","","Glc operon transcriptional activator","2","2","1","7","2191","","","","698","698","698","PCFFDBNJ_02469","GEALKAJD_00312"
"melR_2","","HTH-type transcriptional repressor MelR","2","2","1","7","2513","","","","479","1034","756","PCFFDBNJ_00657","GEALKAJD_01564"
"group_760","","hypothetical protein","2","2","1","7","2181","","","","635","635","635","PCFFDBNJ_02478","GEALKAJD_00303"
"sstT_1","","Serine/threonine transporter SstT","2","2","1","7","2179","","","","1241","1241","1241","PCFFDBNJ_02479","GEALKAJD_00302"
"group_762","","hypothetical protein","2","2","1","7","2178","","","","695","758","726","PCFFDBNJ_02480","GEALKAJD_00298"
"group_763","","hypothetical protein","2","2","1","7","3200","","","","1040","1040","1040","PCFFDBNJ_02543","GEALKAJD_02689"
"group_764","","hypothetical protein","2","2","1","7","3201","","","","332","332","332","PCFFDBNJ_02544","GEALKAJD_02688"
"group_765","","hypothetical protein","2","2","1","7","3205","","","","341","341","341","PCFFDBNJ_02545","GEALKAJD_02687"
"group_766","","hypothetical protein","2","2","1","7","3208","","","","671","671","671","PCFFDBNJ_02549","GEALKAJD_02684"
"group_767","","hypothetical protein","2","2","1","7","3219","","","","2369","2372","2370","PCFFDBNJ_02560","GEALKAJD_02673"
"group_768","","hypothetical protein","2","2","1","7","3220","","","","332","356","344","PCFFDBNJ_02561","GEALKAJD_02672"
"group_769","","hypothetical protein","2","2","1","7","3221","","","","593","593","593","PCFFDBNJ_02562","GEALKAJD_02671"
"lacF_3","","Lactose transport system permease protein LacF","2","2","1","7","1385","","","","104","869","486","PCFFDBNJ_00672","GEALKAJD_01549"
"group_770","","hypothetical protein","2","2","1","7","3819","","","","806","806","806","PCFFDBNJ_02567","GEALKAJD_02666"
"group_771","","hypothetical protein","2","2","1","7","3816","","","","206","281","243","PCFFDBNJ_02570","GEALKAJD_03013"
"group_772","","hypothetical protein","2","2","1","7","3276","","","","2372","2372","2372","PCFFDBNJ_02576","GEALKAJD_02658"
"group_773","","hypothetical protein","2","2","1","7","3268","","","","125","149","137","PCFFDBNJ_02579","GEALKAJD_02916"
"ssb_2","","Single-stranded DNA-binding protein","2","2","1","7","3265","","","","485","485","485","PCFFDBNJ_02582","GEALKAJD_02911"
"group_775","","hypothetical protein","2","2","1","7","3264","","","","260","260","260","PCFFDBNJ_02583","GEALKAJD_02909"
"group_776","","hypothetical protein","2","2","1","7","3262","","","","251","251","251","PCFFDBNJ_02585","GEALKAJD_02907"
"group_777","","hypothetical protein","2","2","1","7","254","","","","416","926","671","PCFFDBNJ_02642","GEALKAJD_02693"
"xerS","","Tyrosine recombinase XerS","2","2","1","7","168","","","","1085","1085","1085","PCFFDBNJ_02663","GEALKAJD_02779"
"group_779","","hypothetical protein","2","2","1","7","2566","","","","566","566","566","PCFFDBNJ_02689","GEALKAJD_02458"
"group_780","","hypothetical protein","2","2","1","7","2564","","","","656","656","656","PCFFDBNJ_02691","GEALKAJD_02456"
"group_781","","Muramidase-2","2","2","1","7","2563","","","","2006","2018","2012","PCFFDBNJ_02692","GEALKAJD_02455"
"murE","","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase","2","2","1","7","2490","","","","1505","1505","1505","PCFFDBNJ_02701","GEALKAJD_02439"
"group_783","","hypothetical protein","2","2","1","7","2489","","","","590","590","590","PCFFDBNJ_02702","GEALKAJD_02438"
"murJ_2","","Lipid II flippase MurJ","2","2","1","7","2488","","","","1646","1646","1646","PCFFDBNJ_02703","GEALKAJD_02437"
"rluB_2","","Ribosomal large subunit pseudouridine synthase B","2","2","1","7","2487","","","","719","719","719","PCFFDBNJ_02704","GEALKAJD_02436"
"group_786","","hypothetical protein","2","2","1","7","2484","","","","1457","1460","1458","PCFFDBNJ_02707","GEALKAJD_02433"
"group_787","","hypothetical protein","2","2","1","7","2476","","","","1289","1289","1289","PCFFDBNJ_02713","GEALKAJD_02427"
"gmuE_2","","Putative fructokinase","2","2","1","7","2474","","","","857","857","857","PCFFDBNJ_02715","GEALKAJD_02425"
"rluD_2","","Ribosomal large subunit pseudouridine synthase D","2","2","1","7","2472","","","","857","857","857","PCFFDBNJ_02716","GEALKAJD_02424"
"group_79","","hypothetical protein","2","2","1","7","1984","","","","221","410","315","PCFFDBNJ_00927","GEALKAJD_01351"
"group_790","","Putative multidrug export ATP-binding/permease protein","2","2","1","7","2469","","","","1754","1754","1754","PCFFDBNJ_02719","GEALKAJD_02421"
"group_791","","hypothetical protein","2","2","1","7","2468","","","","836","836","836","PCFFDBNJ_02720","GEALKAJD_02420"
"rhgT","","Rhamnogalacturonan acetylesterase RhgT","2","2","1","7","2467","","","","683","683","683","PCFFDBNJ_02721","GEALKAJD_02419"
"group_793","","hypothetical protein","2","2","1","7","2466","","","","908","908","908","PCFFDBNJ_02722","GEALKAJD_02407"
"pemA","","Pectinesterase A","2","2","1","7","2465","","","","923","923","923","PCFFDBNJ_02723","GEALKAJD_02406"
"group_795","","hypothetical protein","2","2","1","7","2166","","","","635","635","635","PCFFDBNJ_02731","GEALKAJD_00286"
"group_796","","hypothetical protein","2","2","1","7","2163","","","","314","650","482","PCFFDBNJ_02734","GEALKAJD_00283"
"group_81","rhaR_1","putative response regulatory protein","2","2","1","7","1809","","","","425","1565","995","PCFFDBNJ_01091","GEALKAJD_01200"
"dcuS_2","","Sensor histidine kinase DcuS","2","2","1","7","1776","","","","821","1643","1232","PCFFDBNJ_01123","GEALKAJD_01169"
"group_85","","hypothetical protein","2","2","1","7","1772","","","","473","1058","765","PCFFDBNJ_01126","GEALKAJD_01165"
"rnhB_2","","Ribonuclease HII","2","2","1","7","1729","","","","314","767","540","PCFFDBNJ_01166","GEALKAJD_01121"
"rmlB","","dTDP-glucose 4,6-dehydratase","2","2","1","7","1228","","","","689","1028","858","PCFFDBNJ_01391","GEALKAJD_00871"
"rho","","hypothetical protein","2","2","1","7","709","","","","182","1295","738","PCFFDBNJ_01570","GEALKAJD_00700"
"gpmA_3","","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","2","2","1","7","2823","","","","152","686","419","PCFFDBNJ_01680","GEALKAJD_00050"
"ruvA_1","","Holliday junction ATP-dependent DNA helicase RuvA","2","2","1","7","2923","","","","314","602","458","PCFFDBNJ_01782","GEALKAJD_00144"
"dctM","","hypothetical protein","2","2","1","7","2999","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","335","1295","815","PCFFDBNJ_01855","GEALKAJD_00208"
"group_99","","hypothetical protein","2","2","1","7","3136","","","","389","1337","863","PCFFDBNJ_01883","GEALKAJD_00232"
"group_1","","IS256 family transposase ISEf1","1","1","1","7","2185","660","3","","728","728","728","","GEALKAJD_00307"
"group_10","","ISL3 family transposase IS1251","1","1","1","7","1200","717","9","","446","446","446","","GEALKAJD_00898"
"group_100","","hypothetical protein","1","1","1","7","3138","208","1","","929","929","929","PCFFDBNJ_01884",""
"rbfA","","Ribosome-binding factor A","1","1","1","7","3465","405","1","","347","347","347","PCFFDBNJ_00587",""
"group_1001","","hypothetical protein","1","1","1","7","3502","682","1","","362","362","362","PCFFDBNJ_00593",""
"group_1002","","hypothetical protein","1","1","1","7","3501","682","2","","224","224","224","PCFFDBNJ_00594",""
"group_1003","","hypothetical protein","1","1","1","7","3500","682","3","","1283","1283","1283","PCFFDBNJ_00595",""
"group_1004","","hypothetical protein","1","1","1","7","3499","682","4","","605","605","605","PCFFDBNJ_00596",""
"group_1005","","hypothetical protein","1","1","1","7","3498","682","5","","335","335","335","PCFFDBNJ_00597",""
"group_1006","","hypothetical protein","1","1","1","7","3497","682","6","","1961","1961","1961","PCFFDBNJ_00598",""
"group_1007","","hypothetical protein","1","1","1","7","3496","682","7","","788","788","788","PCFFDBNJ_00599",""
"group_1008","","hypothetical protein","1","1","1","7","3466","682","8","","920","920","920","PCFFDBNJ_00600",""
"group_1009","","hypothetical protein","1","1","1","7","3467","682","9","","1382","1382","1382","PCFFDBNJ_00601",""
"group_1010","","hypothetical protein","1","1","1","7","3483","643","1","","518","518","518","PCFFDBNJ_00607",""
"cysA","","Sulfate/thiosulfate import ATP-binding protein CysA","1","1","1","7","3482","643","2","","626","626","626","PCFFDBNJ_00608",""
"group_1012","","hypothetical protein","1","1","1","7","3481","643","4","","173","173","173","PCFFDBNJ_00609",""
"group_1013","","hypothetical protein","1","1","1","7","3478","643","3","","734","734","734","PCFFDBNJ_00610",""
"uvrA_2","","UvrABC system protein A","1","1","1","7","3469","594","2","","275","275","275","PCFFDBNJ_00620",""
"uvrA_3","","UvrABC system protein A","1","1","1","7","3468","594","3","","1871","1871","1871","PCFFDBNJ_00621",""
"group_1016","","hypothetical protein","1","1","1","7","2525","594","1","","521","521","521","PCFFDBNJ_00622",""
"group_1017","","hypothetical protein","1","1","1","7","2528","13","1","","1172","1172","1172","PCFFDBNJ_00625",""
"group_1018","","hypothetical protein","1","1","1","7","2533","640","3","","224","224","224","PCFFDBNJ_00627",""
"group_1019","","hypothetical protein","1","1","1","7","2534","640","4","","830","830","830","PCFFDBNJ_00628",""
"group_102","","putative transporter","1","1","1","7","2373","145","1","","845","845","845","PCFFDBNJ_01977",""
"glmS_1","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","1","1","1","7","2535","640","2","","1805","1805","1805","PCFFDBNJ_00629",""
"group_1021","","hypothetical protein","1","1","1","7","2536","640","1","","290","290","290","PCFFDBNJ_00630",""
"group_1022","","hypothetical protein","1","1","1","7","2538","389","1","","659","659","659","PCFFDBNJ_00632",""
"group_1023","","hypothetical protein","1","1","1","7","2546","76","1","","1328","1328","1328","PCFFDBNJ_00638",""
"group_1024","","hypothetical protein","1","1","1","7","2501","505","2","","761","761","761","PCFFDBNJ_00654",""
"metE_2","","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","1","1","1","7","2500","505","1","","1136","1136","1136","PCFFDBNJ_00655",""
"aroL","","Shikimate kinase 2","1","1","1","7","1378","404","1","","509","509","509","PCFFDBNJ_00666",""
"group_1027","","hypothetical protein","1","1","1","7","1373","263","1","","134","134","134","PCFFDBNJ_00670",""
"group_1028","","hypothetical protein","1","1","1","7","1391","422","1","","398","398","398","PCFFDBNJ_00677",""
"group_1029","","hypothetical protein","1","1","1","7","1393","183","1","","437","437","437","PCFFDBNJ_00679",""
"cna_1","","Collagen adhesin","1","1","1","7","474","419","1","","383","383","383","PCFFDBNJ_02091",""
"group_1030","gph","Phosphoglycolate phosphatase","1","1","1","7","1395","334","1","","623","623","623","PCFFDBNJ_00681",""
"group_1031","pphA","Serine/threonine-protein phosphatase 1","1","1","1","7","1367","100","1","","731","731","731","PCFFDBNJ_00686",""
"group_1032","","Protein SprT-like protein","1","1","1","7","1402","544","1","","470","470","470","PCFFDBNJ_00688",""
"group_1033","ydcF","Protein YdcF","1","1","1","7","1403","544","2","","761","761","761","PCFFDBNJ_00689",""
"group_1034","coaE","Dephospho-CoA kinase","1","1","1","7","1409","464","1","","629","629","629","PCFFDBNJ_00695",""
"group_1035","","hypothetical protein","1","1","1","7","1410","464","2","","332","332","332","PCFFDBNJ_00696",""
"group_1036","","hypothetical protein","1","1","1","7","1417","438","1","","440","440","440","PCFFDBNJ_00700",""
"group_1037","","GTP cyclohydrolase 1 type 2 ","1","1","1","7","1418","434","1","","1121","1121","1121","PCFFDBNJ_00702",""
"group_1038","dagK_2","Diacylglycerol kinase","1","1","1","7","1366","75","1","","908","908","908","PCFFDBNJ_00704",""
"group_1039","","hypothetical protein","1","1","1","7","1428","126","1","","494","494","494","PCFFDBNJ_00709",""
"group_1040","","hypothetical protein","1","1","1","7","1364","709","5","","1616","1616","1616","PCFFDBNJ_00714",""
"group_1041","","hypothetical protein","1","1","1","7","1363","709","6","","428","428","428","PCFFDBNJ_00715",""
"group_1042","","hypothetical protein","1","1","1","7","1362","709","7","","392","392","392","PCFFDBNJ_00716",""
